Year,global_mean_inflation,mean_global_gdp_growth
2010,4.460428088117993,
2011,6.864376232093725,13.65875931107281
2012,6.033057695427357,3.702885012892358
2013,4.642305058990187,5.756054645354941
2014,4.054435172592762,3.1941865611623337
2015,3.740231934561361,-7.333135054916143
2016,4.07369669230574,0.5969139054308195
2017,4.42261135431392,9.05628562331378
2018,4.072038861836237,7.350629289188241
2019,5.175861289338956,1.37945915632977
2020,8.268978920865772,-5.673601091086362
2021,8.743157353519967,14.348507156712412
2022,12.811320360242174,8.079633535461964
2023,8.610520754396271,6.544950325150962
